8.1.1	vaiśaṃpāyana uvāca tato droṇe hate rājan duryodhanamukhā nṛpāḥ bhṛśam udvignamanaso droṇaputram upāgaman
8.1.2	te droṇam upaśocantaḥ kaśmalābhihataujasaḥ paryupāsanta śokārtās tataḥ śāradvatīsutam
8.1.3	muhūrtaṃ te samāśvāsya hetubhiḥ śāstrasaṃmitaiḥ rātryāgame mahīpālāḥ svāni veśmāni bhejire
8.1.4	viśeṣataḥ sūtaputro rājā caiva suyodhanaḥ duḥśāsano 'tha śakunir na nidrām upalebhire
8.1.5	te veśmasv api kauravya pṛthvīśā nāpnuvan sukham cintayantaḥ kṣayaṃ tīvraṃ nidrāṃ naivopalebhire
8.1.6	sahitās te niśāyāṃ tu duryodhananiveśane atipracaṇḍād vidveṣāt pāṇḍavānāṃ mahātmanām
8.1.7	yat tad dyūtaparikliṣṭāṃ kṛṣṇām āninyire sabhām tat smaranto 'nvatapyanta bhṛśam udvignacetasaḥ
8.1.8	cintayantaś ca pārthānāṃ tān kleśān dyūtakāritān kṛcchreṇa kṣaṇadāṃ rājan ninyur abdaśatopamām
8.1.9	tataḥ prabhāte vimale sthitā diṣṭasya śāsane cakrur āvaśyakaṃ sarve vidhidṛṣṭena karmaṇā
8.1.10	te kṛtvāvaśyakāryāṇi samāśvasya ca bhārata yogam ājñāpayām āsur yuddhāya ca viniryayuḥ
8.1.11	karṇaṃ senāpatiṃ kṛtvā kṛtakautukamaṅgalāḥ vācayitvā dvijaśreṣṭhān dadhipātraghṛtākṣataiḥ
8.1.12	niṣkair gobhir hiraṇyena vāsobhiś ca mahādhanaiḥ vardhyamānā jayāśīrbhiḥ sūtamāgadhabandibhiḥ
8.1.13	tathaiva pāṇḍavā rājan kṛtasarvāhṇikakriyāḥ śibirān niryayū rājan yuddhāya kṛtaniścayāḥ
8.1.14	tataḥ pravavṛte yuddhaṃ tumulaṃ romaharṣaṇam kurūṇāṃ pāṇḍavānāṃ ca parasparavadhaiṣiṇām
8.1.15	tayor dve divase yuddhaṃ kurupāṇḍavasenayoḥ karṇe senāpatau rājann abhūd adbhutadarśanam
